common_pt,common2,sci.name,sp,family,growth_form,yrs_ini_prod,max_ini_prod,stratum,strata,life_hist,longev_prod,ori.longev.prod,apical_pruning,leaf_phenol,plant_max_height,estagio,value,function,function2,pollination,dispersal,phytogeo_domain,threat_status,geo_ditribution,estr_ocup,soil,spacing,planting,obs,ref
palma,,Opuntia_ficusindica,opufic,Cactaceae,Cactus,,,,,perennial,,,,evergreen,,,,,,,,,,,,,,,,agendagotsch.com;_https://www.nparks.gov.sg/florafaunaweb/flora/4/5/4542
bertalha,,Basella_alba,basalb,Portulacaceae,Climber,0.167,0.25,,,perennial,,,,,,,,,,,,,,,,,,,,cartilhasafipoema
buchinha-do-norte,,Luffa_operculata,,Curcubitaceae,Climber,,,,,,,,,,,,,dryfruit,medicine,,,af,ne,alien,,,,,,cartilhaliberdadeevida;_https://www.embrapa.br/documents/1355054/26025431/SITE+ARVORES_FICHA_61_Pouteria+caimito.pdf/254efcb1-f3fc-a624-92c9-2bb84b5e6266
cabaca,,Lagenaria_siceraria,lagsic,Cucurbitaceae,Climber,0.167,0.333,,,annual,0.583,,,,,,,,,,,,,,,,,,,cartilhasafipoema;https://ainfo.cnptia.embrapa.br/digital/bitstream/item/225763/1/CT-175-30ago2021.pdf
feijao-catador,,Vigna_unguiculata,vigung,Fabaceae,Climber,,,,,annual,,,,annual,,,,,,,,,,,,,,,,hortas.info/
feijao-da-espanha,,Phaseolus_coccineus,phacoc,,Climber,0.25,0.333,,,annual,0.333,,,,,,,,,,,,,,,,,,,https://www.ufsm.br/app/uploads/sites/555/2022/09/a-tecnologia-social-das-agroflorestas.pdf
feijao-de-lima,,Phaseolus_lunatus,phalun,Fabaceae,Climber,0.236,0.306,,,annual,0.306,,,,,,,,,,,,,,,,,,,agendagotsch.com
feijao-vagem,,Phaseolus_vulgaris,phavul,Fabaceae,Climber,0.167,0.194,,,annual,0.194,,,,,,,,,,,,,,,,,,,agroflorestar.com;_https://bdm.unb.br/bitstream/10483/28172/1/2019_MarceloDeAbreuFloresTosacano_tcc.pdf
melao-de-sao-caetano,,Momordica_charantia,momcha,Curcubitaceae,Climber,0.167,0.333,,,annual,0.333,,,,,trepadeira,,,,,,,,,,,,,,cartilhaliberdadeevida
minipepino,,Melothria_scabra,melsca,Curcubitaceae,Climber,0.167,0.25,,,perennial,,,,,,trepadeira,,,,,,,,,,,,,,agendagotsch.com;_https://ainfo.cnptia.embrapa.br/digital/bitstream/item/112716/1/Cultivo-de-Fruteiras-em-Sistemas-Agroflorestais.pdf
alcaravia,,Carum_carvi,carcar,Apiaceae,Herb,2.0,,,,biennial,,,,,,,,,,,,,,,,,,,,agroflorestar.com;globorural
alface-de-cordeiro,,Valerianella_locusta,valloc,Valerianaceae,Herb,0.111,0.167,,,annual,0.333,,,,,,,,,,,,,,,,,,,agroflorestaaprendendoaproduzircomanatureza;_https://ainfo.cnptia.embrapa.br/digital/bitstream/item/112716/1/Cultivo-de-Fruteiras-em-Sistemas-Agroflorestais.pdf
aspargo,,Asparagus_officinalis,aspoff,Asparagaceae,Herb,2.0,3.0,,,perennial,20.0,,,,,,,,,,,,,,,,,,,cartilhaliberdadeevida/manualsistemasagroflorestaisemater;_https://www.infoteca.cnptia.embrapa.br/infoteca/handle/item/14/simple-search?query=circular&rpp=100&sort_by=0&order=desc&submit_search=alterar
braquiarao,,Urochloa_brizantha,urobri,Poaceae,Herb,,,,,perennial,,,,evergreen,,,,,,,,,,,,,,,,cartilhaliberdadeevida
braquiaria,decumbens,Urochloa_decumbens,urodec,Poaceae,Herb,,,,,perennial,,,,evergreen,,,,,,,,,,,,,,,,agroflorestar.com
camomila,,Matricaria_chamomilla,matcha,Asteraceae,Herb,0.25,0.333,,,annual,0.416,,,,,,,,,,,,,,,,,,,agroflorestaecologiaesociedade;_https://www.nparks.gov.sg/florafaunaweb/flora/5/6/5620;_https://tropical.theferns.info/viewtropical.php?id=Falcataria+moluccana
capim-jaragua,,Hyparrhenia_rufa,hypruf,Poaceae,Herb,,,,,perennial,,,,evergreen,,,,,,,,,,,,,,,,.
capim-melosinho,gordua-pequeno,Melinis_minutiflora,melmin,Poaceae,Herb,,,,,perennial,,,,,,,,,,,,,,,,,,,,hortas.info/
cardo,,Cynara_cardunculus,cyncar,Asteraceae,Herb,,,,,perennial,,,,,1.5,,,,,,,,,,,,,,,hortas.info/
cebolinha-verde,,Allium_fistulosum,allfis,Liliaceae,Herb,0.208,0.333,,,annual,0.333,,,,,,,,,,,,,,,,,,,hortas.info/
endro,,Anethum_graveolens,anegra,Apiaceae,Herb,0.083,0.167,,,annual,0.167,,,,,,,,,,,,,,,,,,,"agroflorestaecologiaesociedade;_https://caminhosdasemente.org.br/documents/Especies%20para%20semeadura%20direta%20na%20Amazo%CC%82nia,%20Cerrado%20e%20Mata%20Atla%CC%82ntica_Caracteri%CC%81sticas%20de%20sementes%20e%20plantas,%20e%20sugesto%CC%83es%20de%20coleta.pdf"
erva-cidreira,,Melissa_officinalis,meloff,Lamiaceae,Herb,0.25,0.333,,,perennial,,,,,,,,,,,,,,,,,,,,.
erva-do-orvalho,,Mesembryanthemum_crystallinum,mescry,Aizoaceae,Herb,0.083,,,,biennial,,,,,,,,,,,,,,,,,,,,hortas.info/
erva-dos-gatos,,Nepeta_cataria,nepcat,Lamiaceae,Herb,,,,,perennial,,,,,,,,,,,,,,,,,,,,cartilhaliberdadeevida
funcho,,Foeniculum_vulgare,foevul,Aoiaceae,Herb,0.222,0.278,,,annual,0.3,,,,,,,,,,,,,,,,,,,
girassol-batateiro,topinambo,Helianthus_tuberosus,heltub,Asteraceae,Herb,0.333,0.417,,,annual,0.417,,,,,,,,,,,,,,,,,,,"agricultoresquecultivamárvores;_https://caminhosdasemente.org.br/documents/Especies%20para%20semeadura%20direta%20na%20Amazo%CC%82nia,%20Cerrado%20e%20Mata%20Atla%CC%82ntica_Caracteri%CC%81sticas%20de%20sementes%20e%20plantas,%20e%20sugesto%CC%83es%20de%20coleta.pdf"
humidicula,mendico,Urochloa_humidicola,urohum,Poaceae,Herb,,,,,perennial,,,,evergreen,,,,,,,,,,,,,,,,agroflorestar.com
komatsuna,,Brassica_rapa_var_komatsuna,brarapKom,Brassicaceae,Herb,0.083,0.167,,,annual,0.333,,,,,,,,,,,,,,,,,,,agroflorestar.com
mal-me-quer,flor-do-campo,Aspilia_montevidensis,aspmon,Verbenaceae,Herb,,,,,perennial,,,,,,,,,,,,,,,,,,,,agroflorestar.com
mizuna,,Brassica_rapa_var_nipposinica,brarapnip,Brassicaceae,Herb,0.139,0.194,,,annual,0.194,,,,,,,,,,,,,,,,,,,hortas.info/
mombaca,,Panicum_maximum_var_mombaça,panmaxmom,Poaceae,Herb,,,,,perennial,,,,evergreen,,,,,,,,,,,,,,,,hortas.info/
