common_en,common_pt,common2,REFLORA_sci,WFO_sci_name,WFO_authorship,sci_name,variety,sp,family,growth_form,growth_form2,yrs_ini_prod,max_ini_prod,stratum,strata,life_hist,longev_prod,ori_longev_prod,apical_pruning,leaf_phenol,plant_max_height,estagio,value,function,function2,pollination,dispersal,phytogeo_domain,phytogeo_domain,phytogeo_domain,phytogeo_domain,phytogeo_domain,phytogeo_domain,threat_status,geo_distribution,estr_ocup,soil,spacing,planting,obs,ref
avocado,abacate,NA,Persea americana Mill.,Persea americana,Mill.,Persea americana,NA,Per ame,Lauraceae,tree,,3,NA,5,NA,perennial,10,10,NA,evergreen,12,secundaria1e2,fruit,fruit,NA,melittophily,zoochory,NA,af,NA,NA,NA,NA,NA,alien,NA,NA,6x10,seedling,NA,agendagotsch.com;_https://www.nparks.gov.sg/florafaunaweb/flora/4/5/4542
pineapple,abacaxi,NA,Ananas comosus (L.) Merril,Ananas comosus,(L.) Merr.,Ananas comosus,NA,Ana com,Bromeliaceae,herb,,2,NA,2,NA,perennial,3,3,NA,semi.evergreen,0.7,secundaria1,fruit,fruit,NA,NA,NA,am,af,ca,ce,p,ch,NA,native,NA,NA,1x0.4,NA,NA,cartilhasafipoema
caminito,abiu,NA,Pouteria caimito (Ruiz & Pav.) Radlk.,Pouteria caimito,Radlk.,Pouteria caimito,NA,Pou cai,Sapotaceae,tree,,4,8,6,NA,perennial,55,55,NA,evergreen,10,secundaria2e3,fruit,fruit,seed,melittophily,zoochory,am,af,NA,ce,NA,NA,NA,native,NA,NA,10x8,NA,NA,cartilhaliberdadeevida;_https://www.embrapa.br/documents/1355054/26025431/SITE+ARVORES_FICHA_61_Pouteria+caimito.pdf/254efcb1-f3fc-a624-92c9-2bb84b5e6266
pumpkin,abobora,NA,Cucurbita moschata Duchesne,Cucurbita moschata,Duchesne,Cucurbita moschata,NA,Cuc mos,Cucurbitaceae,climber,,0.25,0.417,1,NA,annual,0.416,0.25,NA,evergreen,0.5,placenta1e2,NA,fruit,seed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2x1,NA,NA,cartilhasafipoema;https://ainfo.cnptia.embrapa.br/digital/bitstream/item/225763/1/CT-175-30ago2021.pdf
winter-melon,abobora-dagua,NA,Benincasa hispida Cogn.,Benincasa hispida,Cogn.,Benincasa hispida,NA,Ben his,Cucurbitaceae,climber,,0.278,0.444,2,NA,annual,0.444,NA,NA,annual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hortas.info/
courgette,abobrinha,NA,Cucurbita pepo L.,Cucurbita pepo,L.,Cucurbita pepo,NA,Cuc pep,Cucurbitaceae,herb,,0.125,0.222,4,NA,annual,0.222,NA,NA,annual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.ufsm.br/app/uploads/sites/555/2022/09/a-tecnologia-social-das-agroflorestas.pdf
broadleaf salwood,acacia-mangium,NA,Acacia mangium Willd.,Acacia mangium,Willd.,Acacia mangium,NA,Aca man,Fabaceae,tree,,3,6,7,NA,perennial,NA,NA,NA,NA,30,secundario1,NA,timber,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alien,NA,NA,2.5x2.5,seedling,NA,agendagotsch.com
saffron,acafrao,NA,Crocus sativus L.,Crocus sativus,L.,Crocus sativus,NA,Cro sat,Iridaceae,herb,,1.5,3,2,NA,perennial,7,NA,NA,semi.evergreen,0.4,NA,NA,condiment,NA,NA,NA,NA,NA,NA,NA,NA,asia,NA,alien,NA,NA,0.1x0.45,bulbs,NA,agroflorestar.com;_https://bdm.unb.br/bitstream/10483/28172/1/2019_MarceloDeAbreuFloresTosacano_tcc.pdf
zedoary,acafrao-falso,NA,Curcuma zedoaria (Christm.) Roscoe,Curcuma zedoaria,(Christm.) Roscoe,Curcuma zedoaria,NA,Cur zed,Zingiberaceae,herb,,0.5,0.75,2,NA,perennial,3,3,NA,semi.evergreen,NA,placenta1e2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5x0.3,NA,NA,cartilhaliberdadeevida
assai palm,acai,NA,Euterpe oleracea Mart.,Euterpe oleracea,Mart.,Euterpe oleracea,NA,Eut ole,Arecaceae,palm,,4,12,6,NA,perennial,40,NA,NA,NA,15,secundario2,NA,fruit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2x1.5,seedling,NA,agendagotsch.com;_https://ainfo.cnptia.embrapa.br/digital/bitstream/item/112716/1/Cultivo-de-Fruteiras-em-Sistemas-Agroflorestais.pdf
