en_common_name,pt_common_name,work_species,work_author,variety,family,growth_form_1,growth_form,life_cycle,stratum,light_demand,initial_harvest_yrs,max_initial_harvest_yrs,production_longevity_yrs,apical_pruning_yrs,deciduousness,height_m,estage,function,pollination_syndrome,dispersal_syndrome,threat_status,establishment,habitat,spacing,occurrence,
,,Aphelandra espirito-santensis,,,Acanthaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Aphelandra margaritae,,,Acanthaceae,subshrub,subshrub,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Aphelandra maximiliana,,,Acanthaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Aphelandra rigida,,,Acanthaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Aphelandra stephanophysa,,,Acanthaceae,subshrub,subshrub,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Dyschoriste lavandulacea,,,Acanthaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),native,Campo Limpo|Cerrado (lato sensu),,BR-MS|BR-PR,
,,Dyschoriste smithii,,,Acanthaceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),native,Floresta Ombrófila Mista,,BR-SC,
,,Justicia clausseniana,,,Acanthaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-RJ,
,,Justicia genuflexa,,,Acanthaceae,subshrub,subshrub,,,,,,,,,,,,,,Vulnerável (VU),native,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES,
,,Justicia meyeniana,,,Acanthaceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Justicia nervata,,,Acanthaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Justicia polita,,,Acanthaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Justicia ramulosa,,,Acanthaceae,subshrub,subshrub,,,,,,,,,,,,,,Vulnerável (VU),native,Floresta Estacional Decidual,,BR-MS|BR-PR,
